osm_id,type,lat,lon,sport,surface,lit,access,fee,opening_hours,operator,name,addr_street,addr_housenumber,note
783365331,way,55.7837148,37.5122737,soccer,,,,,,,,,,
969721257,way,55.7845548,37.512118,soccer,,,,,,,,,,
441137143,way,55.7998573,37.5006952,soccer,,,,,,,,,,
27931587,way,55.7987406,37.508755,football,,,,,,,,,,
552480609,way,55.7973316,37.5075186,football,unpaved,,,,,,,,,
287495040,way,55.7791525,37.5152465,soccer,tartan,yes,,,,,,,,
291325938,way,55.7914126,37.5162005,soccer,,,,,,,,,,
111479402,way,55.7921169,37.5202649,soccer,,,,,,,,,,
99315108,way,55.7972806,37.5164526,soccer,,,,,,,,,,
103562928,way,55.7980661,37.5161112,soccer,,,,,,,,,,
673667749,way,55.7971959,37.5147427,soccer,tartan,,,,,,,,,
85646432,way,55.7959256,37.5211675,soccer,,,,,,,,,,
501273635,way,55.7990804,37.5195619,soccer,,no,private,,,,,,,
508291180,way,55.8004407,37.5255054,soccer,,,,,,,,,,
395132094,way,55.8005074,37.5354727,soccer,,yes,,,,,,,,
353065393,way,55.7983564,37.533154,soccer,,,,,,,,,,
555132551,way,55.7767243,37.5472433,soccer,,,,,,,,,,
650217728,way,55.791564,37.5603204,soccer,grass,yes,,,,,,,,
132928610,way,55.7983318,37.5588506,soccer,,,private,,,,,,,
1215888149,way,55.800486,37.5567748,soccer,,yes,,,,,,,,
760941889,way,55.7975215,37.5557409,soccer,,yes,,,,,,,,
832379289,way,55.7792628,37.5752101,soccer,,,private,,,,,,,
132928609,way,55.7926463,37.5730304,soccer,,,,,,,,,,
324560538,way,55.7943616,37.5749099,soccer,,yes,,,,,,,,
850031228,way,55.8292207,37.4838504,soccer,,,,,,,,,,
300363828,way,55.8399359,37.4789298,soccer,,,,,,,,,,
344775921,way,55.8359186,37.4800803,soccer,grass,yes,,,,,,,,
344775922,way,55.8367607,37.479834,soccer,,yes,,,,,,,,
300619047,way,55.8457719,37.4798869,soccer,tartan,yes,,,,,,,,
503473907,way,55.8028328,37.5160531,soccer,,,private,,,,,,,
350096300,way,55.8039689,37.5386023,soccer,asphalt,yes,,,,,,,,
350099937,way,55.8056931,37.5380343,soccer,,yes,,,,,,,,
497920535,way,55.8112747,37.527885,soccer,gravel,no,private,,,,,,,
499397744,way,55.809177,37.5313824,soccer,,yes,,,,,,,,
586944734,way,55.8169894,37.5248409,football,,yes,,,,,,,,
377978652,way,55.8237278,37.5257383,soccer,tartan,yes,,,,,,,,
395348625,way,55.8191069,37.5260165,soccer,asphalt,yes,,,,,,,,
516134419,way,55.8163732,37.5300686,soccer,,no,,,,,,,,
586944717,way,55.8182962,37.5268637,football,,,private,,,,,,,
656245311,way,55.8173081,37.5278925,soccer,,yes,,,,,,,,
377978454,way,55.8244807,37.5266127,soccer,pebblestone,yes,,,,,,,,
767376248,way,55.8357191,37.4960415,soccer,,,private,,,,,,,
137843755,way,55.8392107,37.5107527,soccer,,,,,,,,,,
296425642,way,55.8417451,37.5092072,soccer,,yes,,,,,,,,
1109721388,way,55.8313273,37.5256469,soccer,tartan,yes,,,,,,,,
843853637,way,55.8294166,37.5318113,soccer,,yes,,,,,,,,
174719028,way,55.8386146,37.534875,soccer,tartan,yes,,,,,,,,
364726217,way,55.8398325,37.5348651,soccer,tartan,yes,,,,,,,,
465410587,way,55.8369381,37.534767,soccer,,yes,,,,,,,,
465410588,way,55.8373851,37.5328297,soccer,,yes,,,,,,,,
1066363347,way,55.8364539,37.5362252,soccer,,yes,,,,,,,,
299011659,way,55.8473733,37.516199,soccer,,yes,,,,,,,,
418989249,way,55.8651519,37.4661385,soccer,,,,,,,,,,
418989246,way,55.8611715,37.4690425,soccer,,,,,,,,,,
418989252,way,55.8609161,37.4719981,soccer,,,,,,,,,,
541698058,way,55.8541223,37.4827572,soccer,,yes,,,,,,,,
1094572422,way,55.8580645,37.4806504,soccer,,,private,,,,,,,
781538325,way,55.8702673,37.4649243,soccer,tartan,,,,,,,,,
239198066,way,55.8738391,37.4665123,soccer,,,,,,,,,,
908663992,way,55.8703058,37.4830288,soccer,acrylic,yes,,,,,,,,
393266319,way,55.8690157,37.4867738,soccer,,,,,,,,,,
635038101,way,55.8719086,37.4862257,soccer,,yes,,,,,,,,
972269411,way,55.8778018,37.4842933,soccer,,,,,,,,,,
36746757,way,55.8597046,37.4961186,soccer,,yes,,,,,,,,
99698862,way,55.8602269,37.4923905,soccer,,,,,,,,,,
635030209,way,55.8638254,37.498146,soccer,,,,,,,,,,
116777384,way,55.8633716,37.5116939,soccer,,,,,,,,,,
91222858,way,55.8706926,37.4912075,soccer,,,,,,,,,,
1090272398,way,55.8681445,37.4949679,soccer,,,,,,,,,,
50319462,way,55.8671408,37.5055478,soccer,grass,no,,,,,,,,
118715961,way,55.8596551,37.5220814,soccer,,,,,,,,,,
179362398,way,55.8670132,37.5354646,soccer,tartan,no,,,,,,,,
361627090,way,55.8769811,37.5304512,soccer,tartan,yes,,,,,,,,
531508761,way,55.8751577,37.5322074,soccer,tartan,,,,,,,,,
222488407,way,55.8823727,37.4912616,soccer,tartan,yes,,,,,,,,
144123950,way,55.8825074,37.5231543,soccer,tartan,yes,,,,,,,,
216270556,way,55.8831302,37.5343209,soccer,,,,,,,,,,
1081825342,way,55.888128,37.5294841,soccer,,,private,,,,,,,
452420090,way,55.8926936,37.5271877,soccer,tartan,,,,,,,,,
492460146,way,55.8953947,37.5371366,soccer,,,,,,,,,,
649521388,way,55.9450611,37.3498439,soccer,,,,,,,,,,
52672803,way,55.9395521,37.3564592,soccer,,,,,,,,,,
1316136420,way,55.9462049,37.4082415,soccer,,,,,,,,,,
374444339,way,55.8068076,37.5450875,football,,yes,,,,,,,,
485382217,way,55.8025591,37.5414135,soccer,,yes,,,,,,,,
517638422,way,55.8037304,37.5422566,soccer,,yes,,,,,,,,
205383854,way,55.8075745,37.557486,soccer,,,customers,,,,,,,
124188647,way,55.8082194,37.5608874,soccer,,yes,,,,,,,,
551959635,way,55.8143575,37.5645632,soccer,,yes,,,,,,,,
1122585843,way,55.8125355,37.5749265,soccer,,yes,,,,,,,,
969452913,way,55.8163188,37.5723829,soccer,tartan,,,,,,,,,
135385987,way,55.8334657,37.5628965,soccer,grass,,,,Mo-Su 6:00-23:00,,,,,
654425065,way,55.8359669,37.5563302,soccer,asphalt,,,,,,,,,
32791288,way,55.8344801,37.5625069,soccer,,,,,Mo-Su 6:00-23:00,,,,,
605601062,way,55.8337454,37.5699521,soccer,artificial_turf,yes,,,,,,,,
434890099,way,55.8451817,37.5668531,soccer,,,,,,,,,,
995403790,way,55.8638996,37.5411998,soccer,,yes,,,,,,,,
121301903,way,55.8661927,37.554011,soccer,,,,,,,,,,
426105938,way,55.8623737,37.5649995,soccer,,,,,,,,,,
216253187,way,55.8614097,37.5579041,soccer,,,,,,,,,,
426105944,way,55.8642321,37.5622121,soccer,,,,,,,,,,
28773932,way,55.8725646,37.5421483,soccer,,,,,,,,,,
309446427,way,55.8745699,37.5505843,soccer,,,,,,,,,,
286789076,way,55.8697779,37.553153,soccer,artificial_turf,,,,,,,,,
88447684,way,55.8670227,37.5623119,soccer,artificial_turf,,,,,,,,,
543398935,way,55.8793004,37.560024,soccer,tartan,no,,,,,,,,
456809575,way,55.8743484,37.5556265,soccer,,,,,,,,,,
995396970,way,55.8619833,37.5710473,soccer,,,,,,,,,,
241367764,way,55.8698076,37.5665828,soccer,tartan,yes,,,,,,,,
995404303,way,55.8818151,37.5608984,soccer,,,,,,,,,,
143013482,way,55.8857539,37.5643445,soccer,,,,,,,,,,
